participant_id,age,gender,ethnicity,native_language,highest_education,online_tests_taken_last_3_years,motivational_message_id,concept,theory,time_spent_on_message,word_creation_skill_level,cheating_rate_practice_round,total_words_practice_round,cheating_rate_main_round,total_words_main_round,cheating_lying_rate,performance_score_excluding_cheated_words,performance_score_including_cheated_words,used_external_resources,confessed_words_count,cheating_main_round,has_page_left,total_time_page_left,has_mouse_inactivity,total_time_mouse_inactivity,valid_7_letter_words,valid_8_letter_words,usability,task_engagement,task_satisfaction,message_understanding,PME_on_honest_task_completion,PME_on_task_performance,PME_on_task_experience,autonomy_need_satisfaction,autonomy_need_frustration,competence_need_satisfaction,competence_need_frustration,relatedness_need_satisfaction,relatedness_need_frustration,overall_need_satisfaction,overall_need_frustration,performance_accomplishments,vicarious_experience,verbal_persuasion,emotional_arousal,task_specific_self_efficacy,injunctive_norms,descriptive_norms,reference_group_identification,social_sanctions,norm_perception,cognitive_discomfort,moral_disengagement,message_comprehend,message_confidence,message_attitude,message_impact,message_persistence,message_suggestion,feedback
p_311,32.0,Male,White or Caucasian,English,Bachelor’s degree,300.0,emotional_arousal_3,emotional_arousal,Self-Efficacy Theory,19.64,7,0.0,1,0.0,7,0.0,24,24,False,0,False,1,14.36,1,6.76,0.0,0.0,7.0,4.88,6.4,4.33,1.0,2.2,3.67,4.0,4.5,6.0,1.5,3.0,3.5,4.33,3.17,5.0,3.0,2.5,3.0,3.38,3.5,3.5,1.0,1.0,2.25,1.0,5.17,Being in the moment in a good way and not thinking about anything else. Being in the zone!,3.0,I didn't have any emotional reaction.,It did not change how I approached the challenge.,"None, no.",I would emphasize focusing and shutting out any outside distractions.,I play worlde and NYT word games each day so it was fun!
p_312,30.0,Male,White or Caucasian,English,"Some college credit, no degree",50.0,injunctive_norms_2,injunctive_norms,Social Norms Theory,14.27,7,0.0,3,0.0,5,0.0,10,10,False,0,False,0,0.0,0,0.0,0.0,0.0,7.0,4.25,6.2,3.67,2.0,2.4,4.0,6.0,3.0,6.0,1.0,2.5,2.5,4.83,2.17,2.5,1.0,1.0,1.0,1.38,2.5,2.5,1.0,1.0,1.75,1.67,4.67,good conduct,3.0,,It didn't,No,Nothing,
p_313,33.0,Male,Mixed black/white,English,"Some college credit, no degree",2.0,verbal_persuasion_1,verbal_persuasion,Self-Efficacy Theory,12.43,5,0.0,3,0.8,5,1.0,2,20,False,0,True,0,0.0,1,4.75,1.0,0.0,6.33,6.5,5.6,4.67,1.0,2.8,3.0,6.5,2.0,5.0,1.5,3.0,2.0,4.83,1.83,3.0,1.0,1.0,1.0,1.5,1.0,2.5,1.0,1.0,1.38,1.0,5.5,Cheering me on with pom-poms,4.0,Confusion and curiousity,,,"That they shouldn't panic, going slow is better even if 2 minutes doesn't feel like a lot","Moving words into empty slots is cumbersome. The submit box becoming valid when ANY 5 letters are placed is misleading - as it suggests (at firsts) you have created a valid word, even if it isn't. I believe I submitted a word that wasn't real, believing it to be because I thought the validator was telling me so."
p_314,26.0,Male,White or Caucasian,English,Master’s degree,2.0,reference_group_identification_2,reference_group_identification,Social Norms Theory,13.68,6,0.0,0,0.0,5,0.0,4,4,False,0,False,0,0.0,0,0.0,0.0,0.0,5.0,4.0,4.4,4.67,4.0,3.8,3.0,5.0,3.5,3.5,6.5,3.0,4.0,3.83,4.67,2.0,1.5,2.5,2.0,2.0,4.5,4.5,4.5,6.5,5.0,2.11,5.67,Creativity and thinking outside the box in solving the challenge,1.0,"Blank emotionally, maybe a sense of preparedness for the task ahead",I tried to be creative in what I was doing,No nothing in particular stayed.,I am unsure to be honest. I feel unable to make a suggestion.,
p_315,28.0,Male,Black or African American,English,Master’s degree,5.0,competence_1,competence,Self-Determination Theory,29.68,5,0.0,0,1.0,4,1.0,0,32,False,0,True,0,0.0,1,3.4,0.0,4.0,5.67,4.38,6.6,4.67,4.67,6.2,6.67,5.5,3.0,4.5,2.5,5.5,1.5,5.17,2.33,5.0,4.0,5.0,5.5,4.88,5.5,6.0,3.5,5.0,5.0,1.22,3.67,my results from the previous practice round.,4.0,Excitement,Helped me focus more .,No,More challenges,It was challenging
p_316,34.0,Female,White or Caucasian,English language,Bachelor’s degree,5.0,control,control,No Theory,13.4,7,0.0,0,0.0,0,0.0,0,0,False,0,False,0,0.0,0,0.0,0.0,0.0,4.33,3.5,5.6,5.67,3.67,4.6,5.0,6.0,5.5,5.5,4.0,5.0,2.0,5.5,3.83,5.0,5.0,5.0,5.5,5.12,5.0,5.0,5.0,5.5,5.12,2.67,4.83,About the puzzle and getting started,2.0,Readiness,Curious to see what puzzle brings,,Get ready and test yourself,
p_317,29.0,Female,White or Caucasian,English,Bachelor’s degree,1.0,relatedness_2,relatedness,Self-Determination Theory,24.72,6,0.0,1,1.0,7,1.0,0,20,False,0,True,0,0.0,1,19.48,0.0,0.0,6.0,4.75,5.2,3.67,4.0,4.4,3.67,5.5,3.5,4.5,3.5,4.5,3.0,4.83,3.33,4.5,4.0,4.5,4.5,4.38,4.5,4.0,4.5,4.5,4.38,2.0,4.5,you can do whatever you set your mind to,1.0,"it was a nice message, just forgettable",positive influence,no,"easier to understand , more simple",
p_318,19.0,Female,White or Caucasian,English,"Some college credit, no degree",50.0,reference_group_identification_1,reference_group_identification,Social Norms Theory,15.08,4,0.0,2,0.5,4,1.0,6,14,False,0,True,0,0.0,1,19.74,0.0,0.0,6.0,3.88,4.0,3.67,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.67,4.0,being part of a team,3.0,none,none,no,the team aspect,
p_319,32.0,Male,Black or African American,English,Master’s degree,4.0,self_concept_3,self_concept,Cognitive Dissonance Theory,18.85,5,0.0,1,0.0,4,0.0,14,14,False,0,False,0,0.0,1,18.45,0.0,0.0,7.0,5.0,6.8,6.0,6.0,5.8,7.0,5.5,3.5,6.0,2.0,6.0,2.0,5.83,2.5,6.0,6.0,5.5,5.5,5.75,6.5,6.0,4.5,5.5,5.62,1.11,3.17,Well done,5.0,Positive,Positive,,Nothing,Fun and insightful
p_320,25.0,Male,White or Caucasian,English,Bachelor’s degree,2.0,social_sanctions_1,social_sanctions,Social Norms Theory,15.3,4,0.0,3,1.0,5,0.8,0,22,True,1,True,0,0.0,1,12.58,0.0,2.0,6.67,5.5,6.4,4.0,4.0,4.0,4.0,6.0,3.0,4.5,4.0,4.0,3.5,4.83,3.5,3.5,4.0,4.5,4.5,4.12,5.0,4.5,5.0,5.5,5.0,2.78,6.0,I cant remember,1.0,,Na,Na,Try your best and don't give up!,
p_321,34.0,Female,White or Caucasian,English,Bachelor’s degree,300.0,relatedness_3,relatedness,Self-Determination Theory,31.59,4,0.0,3,0.78,9,0.86,6,28,True,1,True,0,0.0,1,11.94,1.0,0.0,6.33,5.5,6.6,5.33,4.67,3.8,6.33,5.0,2.5,3.5,4.0,4.0,2.0,4.17,2.83,4.0,5.0,3.5,4.5,4.25,6.0,5.0,3.5,5.0,4.88,1.11,3.17,Its asked me to remember being surrounded by people I love and how I feel when I am at home. It mentioned about how when I'm with them I'm more likely to open up and share my ideas. It spoke about the magic of building connections with others,5.0,Feelings of calmness and reflection,"To think about family, home and those I have a connection to",Just the message about family and loved ones but I was a little distracted with the task,A feeling of calmness and being in your safe place prehaps? Always good for puzzle solving,"Fun study, very interesting, thank you! Good luck with your research. It was a little difficult to drag the letters on the laptop but I performed better than I thought I would"
p_322,19.0,Female,Asian / Pacific Islander,english,"Some college credit, no degree",4.0,performance_accomplishments_1,performance_accomplishments,Self-Efficacy Theory,13.25,6,0.0,6,0.33,6,1.0,6,12,False,0,True,0,0.0,1,13.93,1.0,0.0,6.0,5.0,5.8,3.67,5.33,3.0,4.0,5.5,4.5,4.5,4.0,4.5,3.5,4.83,4.0,6.0,4.5,5.5,5.5,5.38,5.5,5.0,6.0,6.0,5.62,2.0,5.67,being true to yourself and be the best version of you,1.0,confused as to why i was getting that message,not really influenced,none,to think carefully and be mindful of the time limit,it was very fun and should have more challenges
p_323,35.0,Female,White or Caucasian,English,Bachelor’s degree,0.0,social_sanctions_1,social_sanctions,Social Norms Theory,15.3,3,0.0,2,0.0,7,0.0,18,18,False,0,False,0,0.0,0,0.0,0.0,0.0,6.0,5.25,6.0,5.0,2.0,3.0,4.0,5.5,3.0,4.0,5.0,4.0,3.0,4.5,3.67,2.0,2.0,2.0,2.0,2.0,5.0,3.5,2.0,3.5,3.5,2.33,3.0,integrity,2.0,I didn't understand why it was there but came to realise.,"I understood that you could add any word, even if spelt incorrectly or was a nonsense word. I decided to try not to use nonsense words.",Not really,Shorten it.,"I am worried that my terrible spelling has got me in trouble. When I first started I thought I just didn't know the word, it took me a moment to realise I could put anything in and then I had to think carefully about if I knew the correct spelling."
p_324,24.0,Male,White or Caucasian,english,Bachelor’s degree,500.0,emotional_arousal_1,emotional_arousal,Self-Efficacy Theory,19.77,7,0.0,1,1.0,5,1.0,0,8,False,0,True,0,0.0,1,6.7,0.0,0.0,5.67,5.25,5.2,3.33,4.67,4.6,5.33,4.5,5.0,5.0,4.0,5.0,5.0,4.83,4.67,4.0,3.5,4.5,4.0,4.0,4.5,4.5,4.0,4.5,4.38,2.44,4.67,i dont,2.0,questioning my thoughts,not really,no just that they asked me questions when task started i focused on that,something more meaningly/ memorable,good
p_325,23.0,Female,White or Caucasian,Italian and English,Bachelor’s degree,8.0,control,control,No Theory,14.42,4,0.0,4,1.0,9,1.0,0,38,False,0,True,0,0.0,1,6.61,2.0,1.0,6.0,6.88,6.0,4.0,3.0,4.8,4.67,6.0,4.0,6.0,2.0,4.5,2.0,5.5,2.67,5.0,4.5,5.5,4.0,4.75,5.0,5.0,4.0,5.0,4.75,2.0,4.0,the fact that I can continue once the button appears,3.0,Neutral,Just normal,No actually,That there is no right or wrong way of doing this challenge,
p_326,20.0,Male,White or Caucasian,English,Trade/technical/vocational training,8.0,verbal_persuasion_3,verbal_persuasion,Self-Efficacy Theory,21.77,7,0.67,3,1.0,8,1.0,0,46,False,0,True,1,31.06,1,8.52,3.0,2.0,5.67,2.25,6.0,2.33,1.0,2.2,1.33,7.0,2.0,5.5,1.5,4.5,1.0,5.67,1.5,2.0,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.75,2.78,5.5,Trying to recall something in my personal life at work to help me stay motivated,1.0,I didn't really have much of a reaction to it.,"It didn't, I completed the second task the same way I completed the first task.","No, there wasn't any aspects that stayed with me.",Maybe focus on some advice for the task directly.,"I enjoyed the word creation task, but wished I could just type the words as opposed to dragging them so I could get my words across quicker."
p_327,34.0,Male,White or Caucasian,english,Trade/technical/vocational training,20.0,reference_group_identification_3,reference_group_identification,Social Norms Theory,22.17,5,0.0,3,0.0,5,0.0,14,14,False,0,False,0,0.0,1,15.33,0.0,0.0,6.0,4.75,5.6,5.0,3.67,4.6,4.33,6.0,3.0,5.0,3.0,4.5,2.5,5.17,2.83,3.0,3.0,5.0,4.5,3.88,5.0,5.5,4.5,5.0,5.0,2.0,5.5,spirit,2.0,confidence,none,spirit,taking your time,was a good study and kept me interested
p_328,34.0,Male,White or Caucasian,English,Master’s degree,0.0,verbal_persuasion_1,verbal_persuasion,Self-Efficacy Theory,12.94,7,0.0,3,0.0,9,0.0,34,34,False,0,False,1,3.15,0,0.0,2.0,0.0,7.0,5.0,6.2,5.33,3.33,4.6,6.33,7.0,3.0,7.0,1.5,4.0,3.0,6.0,2.5,6.0,4.0,6.0,5.5,5.38,5.0,3.0,2.0,3.5,3.38,1.0,4.67,pom-poms and encouragement,2.0,"Uplifted, determination",Slight confidence,I forgot as soon as the challenge started,"Try you best, keep working hard",
p_329,30.0,Female,mixed race,portuguese,"High school graduate, diploma or the equivalent (for example: GED)",0.0,descriptive_norms_3,descriptive_norms,Social Norms Theory,17.44,6,0.0,1,0.67,6,1.0,6,22,False,0,True,1,22.77,0,0.0,0.0,1.0,7.0,5.62,6.8,6.33,5.0,6.4,7.0,7.0,1.0,6.5,4.0,5.5,1.0,6.33,2.0,6.0,5.0,5.5,5.0,5.38,7.0,5.5,5.5,5.5,5.88,1.0,2.67,people sometimes fo stuff in order to reach their goals and forget about their integrity,4.0,made me think,"not really because when one tries to live like that, when seeing the message stating that is nothing new",integrity above anything else,,Interesting study. Thank you !
p_330,28.0,Female,White or Caucasian,English,Bachelor’s degree,10.0,self_concept_3,self_concept,Cognitive Dissonance Theory,23.98,4,0.0,4,1.0,8,1.0,0,28,False,0,True,0,0.0,1,12.4,1.0,1.0,6.33,2.88,5.0,4.67,5.33,4.2,4.67,6.0,4.0,5.0,4.5,4.0,4.0,5.0,4.17,4.5,3.0,4.5,4.0,4.0,4.0,5.0,3.0,5.0,4.25,1.44,4.5,Something about putting your own stamp on something,3.0,Making sure not to cheat or deceive something,I made sure to try use the first words that came to mind,Not at all,I'm not too sure really,
p_331,27.0,Male,White or Caucasian,english,Bachelor’s degree,5.0,self_concept_1,self_concept,Cognitive Dissonance Theory,16.7,3,0.0,4,0.17,6,1.0,6,10,False,0,True,1,4.71,0,0.0,0.0,0.0,6.33,4.5,6.4,6.33,4.0,6.2,6.67,6.5,4.0,6.5,4.0,6.0,3.0,6.33,3.67,5.0,5.0,6.0,5.5,5.38,5.5,5.0,4.5,5.5,5.12,2.22,4.83,what's unique about you and what sets you apart all the ins and outs,3.0,"love, pride",made me feel special,some word stuck in my mind,relax,was very fun
p_332,30.0,Female,White or Caucasian,English,Bachelor’s degree,50.0,dissonance_arousal_1,dissonance_arousal,Cognitive Dissonance Theory,24.11,4,0.0,3,0.0,6,0.0,20,20,False,0,False,0,0.0,0,0.0,1.0,0.0,7.0,7.0,7.0,6.0,3.33,5.0,5.67,6.5,1.0,5.0,2.5,5.5,1.0,5.67,1.5,5.0,6.0,4.5,5.5,5.25,4.5,3.5,3.5,3.0,3.62,1.22,4.83,Honestly can't remember exactly but it was about wanting to try to be better if it goes wrong,2.0,That it was true and sometimes I feel this way,It made me want to try and be better at it,"Not really as I was so focused on the challenge, I could only think about the letters","That even though there's a time limit, your limit goes beyond those bounds, so don't feel disheartened",
p_333,21.0,Female,Asian / Pacific Islander,English,"Some college credit, no degree",4.0,cognitive_inconsistency_1,cognitive_inconsistency,Cognitive Dissonance Theory,28.18,4,0.0,3,1.0,7,0.86,0,34,True,1,True,0,0.0,1,1.01,1.0,1.0,6.67,6.12,5.8,5.33,5.0,5.2,5.67,5.0,4.5,5.0,3.0,3.5,2.5,4.5,3.33,3.5,5.0,5.0,5.5,4.75,5.5,4.5,4.0,3.0,4.25,1.67,4.5,tactics/ways of approaching the challenge,2.0,"confidence, resassurance",it made me reflect on my approach to the challenge and slightly change it,to carefully think about my approach,to keep an eye on the timer and to carefully think about the letters,I thought this study was fun and I enjoyed participating in the challenge.
p_334,34.0,Female,Black or African American,English and African language,Master’s degree,4.0,self_concept_2,self_concept,Cognitive Dissonance Theory,133.21,9,0.0,1,1.0,1,1.0,0,0,False,0,True,0,0.0,1,52.83,0.0,0.0,5.0,5.25,6.4,6.0,6.0,6.2,6.67,5.0,3.0,6.0,3.0,5.5,2.0,5.5,2.67,6.0,6.0,6.0,5.5,5.88,5.5,5.5,5.5,4.5,5.25,1.22,4.33,that we should trust that inner guide and let it steer towards solutions that feel authentic and true to whom we becoming,5.0,to be positive,it builds up my confidence and creativity,to trust that inner guide and let it steer towards solutions. I love that phrase,to be resilience and focus,how words can affect people to solve issues
p_336,35.0,Male,White or Caucasian,Romanian,Bachelor’s degree,450.0,dissonance_arousal_1,dissonance_arousal,Cognitive Dissonance Theory,14.29,2,0.0,2,0.0,3,0.0,10,10,False,0,False,0,0.0,1,0.83,0.0,0.0,7.0,6.0,7.0,4.67,1.0,1.0,4.0,7.0,4.0,1.0,1.0,3.5,1.0,3.83,2.0,1.0,1.0,1.0,1.0,1.0,3.5,4.0,4.0,1.0,3.12,1.0,2.33,i cant remember,1.0,no emotion,no influence,no,i cant remember the message,asking people to remebr that message is pretty hard. i hope if you dont remeber the massage you will not get a rejection
p_337,26.0,Male,White or Caucasian,English,Bachelor’s degree,23.0,control,control,No Theory,17.16,4,1.0,2,0.71,7,1.0,6,22,False,0,True,0,0.0,1,32.51,0.0,0.0,6.0,5.5,6.2,4.67,3.67,2.0,3.0,6.0,3.0,5.0,4.0,5.5,2.5,5.5,3.17,4.0,2.0,4.0,5.0,3.75,4.5,5.0,5.0,3.5,4.5,1.33,5.17,starting to play the word game,1.0,slight confusion,no effect,no,Tips on how to accurately ad quickly complete the task.,Very enjoyable.
p_338,20.0,Male,Asian / Pacific Islander,"English, Bengali",Bachelor’s degree,3.0,autonomy_3,autonomy,Self-Determination Theory,14.92,5,0.0,3,0.0,5,0.0,18,18,False,0,False,0,0.0,1,2.67,1.0,0.0,6.0,4.0,6.4,5.33,4.0,4.8,6.33,6.0,3.0,5.5,3.5,4.5,3.5,5.33,3.33,4.5,5.0,4.5,5.5,4.88,5.0,4.0,4.5,4.0,4.38,1.11,5.0,being the captain of your own ship and tackling problems,2.0,"empowered, determined, confident",it made me calmer and helped me to see more words,not really any specific line of the message but the overall feeling of the message helped me by staying calm and composed,i would make it more clear that they need to be calm and have a relaxed but aware mind to find the words,"very fun study, i really liked it, please keep up the good work"
p_339,31.0,Female,White or Caucasian,English,Bachelor’s degree,0.0,verbal_persuasion_1,verbal_persuasion,Self-Efficacy Theory,15.76,5,0.0,4,0.0,4,0.0,16,16,False,0,False,1,25.06,1,0.5,0.0,0.0,6.0,5.5,5.6,5.0,3.0,4.8,5.33,5.5,3.5,5.0,4.5,3.5,2.0,4.67,3.33,3.5,5.0,5.0,4.5,4.5,5.0,4.0,3.0,2.5,3.62,2.0,3.67,my ability and that i was going to succeed at the task,3.0,It gave me confidence to take on the challenge,it didnt really change my approach from the practice round,i didnt really think about the message when completing the task,to stay calm under the time limit and to just try your best,"I enjoyed this study alot, however i often found it difficult to come up with 5 letter words. Had a lot of 4 letters."
p_340,33.0,Female,White or Caucasian,ENGLISH,"High school graduate, diploma or the equivalent (for example: GED)",100.0,descriptive_norms_3,descriptive_norms,Social Norms Theory,14.87,7,0.33,3,0.0,11,0.0,42,42,False,0,False,0,0.0,1,0.14,1.0,0.0,7.0,6.38,6.8,7.0,2.33,3.6,6.33,5.5,1.0,5.0,1.0,3.5,1.0,4.67,1.0,3.0,4.0,3.5,3.5,3.5,6.0,4.0,1.0,4.0,3.75,1.0,3.33,STEPPING BACK AND NOT LETTING SOMETHING TAKE OVER YOU,3.0,CALMNESS,IT DIDNT,NO,KEEP CALM,GREAT
p_342,27.0,Female,White or Caucasian,English,"High school graduate, diploma or the equivalent (for example: GED)",10.0,reference_group_identification_2,reference_group_identification,Social Norms Theory,14.82,5,0.0,2,0.0,6,0.0,14,14,False,0,False,1,10.71,0,0.0,0.0,0.0,6.0,6.25,7.0,6.0,5.33,6.8,4.67,6.5,2.5,5.0,4.5,5.5,1.0,5.67,2.67,5.5,5.0,6.0,6.0,5.62,4.5,5.0,3.0,5.0,4.38,1.11,4.83,"creating words, and what those words were associated with",2.0,"Interested, nervous to see how hard the task was",It prepared me so I knew what to expect,,What the words are associated with,"I enjoyed this study, I enjoy word searches and problem solving :)"
p_343,25.0,Female,White or Caucasian,English,Master’s degree,20.0,cognitive_inconsistency_1,cognitive_inconsistency,Cognitive Dissonance Theory,17.59,4,0.0,3,0.0,7,0.0,22,22,False,0,False,0,0.0,0,0.0,0.0,0.0,6.67,5.75,7.0,2.33,5.67,5.2,2.67,6.0,1.5,5.0,2.5,4.0,2.0,5.0,2.0,4.5,4.0,4.0,4.0,4.12,5.0,5.5,4.0,4.5,4.75,1.0,2.67,I honestly can't remember a word of what it said,1.0,Mostly confusion about what it had to do with the task,I think it made me slow down a little as it used a lot of long words in the message that I had to allow my brain time to understand and process,Not one word,"If its use is to distract then I would keep it as is, but if you wanted participants to recall the message, maybe something relevant to the task","I think the dragging and dropping letters to make up a word is a bit clunky, but I guess that could also be a distractor for the task. Overall, very clear instructions and very fun task."
p_344,27.0,Female,Asian / Pacific Islander,English,Master’s degree,15.0,reference_group_identification_2,reference_group_identification,Social Norms Theory,24.65,4,0.0,6,0.0,9,0.0,26,26,False,0,False,0,0.0,0,0.0,1.0,0.0,6.33,5.62,5.8,2.67,2.33,1.8,2.0,5.5,4.0,3.5,5.5,4.5,4.5,4.5,4.67,3.5,1.5,2.5,4.0,2.88,4.5,5.5,4.0,5.0,4.75,2.11,4.33,Being true to yourself. How that brings innovation. Something about being part of a crew.,2.0,"confusion, bit random",not at all,no,Something to encourage them to challenge themselves and not to give up,It was fun. The message was so random that I didn't take note of it. I wondered how much American/English spelling affected whether a word was 'correct' or not
p_345,32.0,Male,White or Caucasian,English,Bachelor’s degree,25.0,verbal_persuasion_2,verbal_persuasion,Self-Efficacy Theory,17.23,6,0.33,3,0.78,9,0.71,6,28,True,2,True,1,34.34,0,0.0,2.0,0.0,5.33,5.5,6.8,5.67,6.0,6.2,4.33,6.0,1.0,6.0,3.0,4.0,2.0,5.33,2.0,5.5,4.0,6.5,5.0,5.25,5.5,4.0,1.5,2.0,3.25,1.11,3.5,how good I was and telling me I could do great in the final task,3.0,"Encouragement, determination",Got me amped up to complete it,I forgot about it quiet quickly after starting,I would include real data from previous attempts to show how good I was doing,It was quite annoying to drag the letters rather than just click on them
p_346,29.0,Male,White or Caucasian,English,Bachelor’s degree,3.0,performance_accomplishments_2,performance_accomplishments,Self-Efficacy Theory,12.03,5,0.0,4,0.0,11,0.0,24,24,False,0,False,1,10.81,0,0.0,1.0,0.0,6.67,6.38,7.0,4.33,6.0,6.6,4.0,4.0,1.0,5.0,3.0,1.5,5.0,3.5,3.0,5.5,3.0,2.0,4.5,3.75,6.5,6.0,1.0,1.5,3.75,1.0,6.17,Trying to remember a time where you had worked hard and succeeded. Try to replicate that during the test.,4.0,"Pride of a previous piece of work, determination to do well.",Made me more determined to do well.,No.,That focusing more will provide more benefit for the study and myself.,
p_348,31.0,Female,Asian / Pacific Islander,Chinese,Master’s degree,440.0,self_concept_1,self_concept,Cognitive Dissonance Theory,17.61,4,0.0,1,0.0,2,0.0,6,6,False,0,False,0,0.0,0,0.0,0.0,0.0,5.0,5.62,5.0,6.0,3.67,5.8,5.33,6.0,3.0,5.0,3.5,4.0,3.0,5.0,3.17,4.5,5.0,4.5,4.5,4.62,5.0,4.5,4.5,4.0,4.5,2.0,3.0,the rules of the game,1.0,calm,more careful,no,create a word that has at least 5 letters,It's an fun task and I had never done it before
p_349,26.0,Female,White or Caucasian,english,"Some college credit, no degree",150.0,descriptive_norms_3,descriptive_norms,Social Norms Theory,13.82,3,0.5,2,0.0,3,0.0,2,2,False,0,False,0,0.0,1,23.06,0.0,0.0,6.33,5.12,4.8,4.0,4.0,4.6,3.33,3.0,4.5,3.5,5.0,4.0,4.0,3.5,4.5,3.0,3.5,3.0,3.0,3.12,4.5,4.5,3.5,4.5,4.25,2.67,5.33,no,1.0,unable to remember the message,unable to remember the message,unable to remember the message,unable to remember the message,it was good but i found it difficult
p_350,31.0,Male,White or Caucasian,English,"Some college credit, no degree",1.0,competence_1,competence,Self-Determination Theory,30.0,6,0.0,2,0.2,5,1.0,16,20,False,0,True,0,0.0,1,12.54,1.0,0.0,7.0,6.0,7.0,4.33,2.33,5.8,6.0,7.0,1.5,6.5,1.0,6.5,1.0,6.67,1.17,5.5,6.0,4.5,5.5,5.38,6.0,6.0,6.0,5.5,5.88,1.22,4.5,I cant actually remember,1.0,,I just stared at it until a word could be seen,No,Nothing,It was very good!
p_351,26.0,Male,White or Caucasian,English,Master’s degree,5.0,competence_1,competence,Self-Determination Theory,12.64,6,0.0,3,0.0,6,0.0,18,18,False,0,False,0,0.0,1,9.28,0.0,0.0,6.67,4.0,4.8,4.33,1.0,1.0,4.33,5.0,3.5,3.5,3.0,2.5,3.0,3.67,3.17,4.5,3.0,4.0,3.5,3.75,3.5,4.5,1.5,1.0,2.62,1.33,4.83,something motivation - it seemed rather hollow and vague so I can't remember it.,2.0,Slight annoyance from patronising tone,,,I would emphasise some type of strategy and actual advice - the task isn't important enough to need a motivational message in my opinion.,
p_352,27.0,Female,Asian / Pacific Islander,"Bangla, English",Bachelor’s degree,2.0,autonomy_1,autonomy,Self-Determination Theory,70.31,6,0.0,6,0.0,8,0.0,26,26,False,0,False,0,0.0,0,0.0,1.0,0.0,6.0,5.25,6.6,5.33,3.67,5.2,4.33,6.5,1.0,6.0,3.0,6.0,1.5,6.17,1.83,6.0,6.0,6.5,6.5,6.25,6.5,5.5,6.0,4.0,5.5,1.11,3.17,2 parts. How we can reflect (i think),1.0,If this will help in the upcoming challenge,To ensure i created as much messages as possile,I forgot about the message whilst concentrating on the game,To focus on the letters and create the largest word,I found the task very fun. Would have felt it would have been better to type the words with the letters given as opposed to dragging it in as this was slightly time consuming
p_353,27.0,Male,Asian / Pacific Islander,urdu,Master’s degree,5.0,relatedness_2,relatedness,Self-Determination Theory,22.67,6,1.0,1,0.0,5,0.0,10,12,True,1,True,0,0.0,1,16.52,0.0,0.0,5.33,5.25,6.4,4.0,3.0,4.8,5.0,6.0,3.5,5.0,5.0,5.5,3.0,5.5,3.83,6.0,5.0,5.0,5.0,5.25,5.5,5.0,4.5,4.5,4.88,1.44,4.67,to help me,1.0,try to motivate me,tell me thet genious people here to help me,that i can do this,you are awesome and you can do this,the study is very good and the word game is very good and fun to play but u have to tell is discruption about that u are going to ask some question about the message best of luck
p_354,36.0,Female,White or Caucasian,English,Bachelor’s degree,0.0,relatedness_3,relatedness,Self-Determination Theory,16.64,2,0.0,0,0.0,3,0.0,10,10,False,0,False,0,0.0,0,0.0,0.0,0.0,7.0,6.75,6.8,5.67,4.33,5.8,6.33,5.0,3.0,3.0,4.5,5.5,2.0,4.5,3.17,4.5,5.0,5.5,4.5,4.88,6.5,6.5,6.5,6.5,6.5,1.22,4.67,feeling more creative when sharing ideas with loved ones,5.0,positive and love. Thinking about people I care about,I felt quite relaxed and happy,not really,how we feel more positive when considering people we care about,It was very enjoyable and engaging. The layout was easy to use.
p_355,29.0,Female,White or Caucasian,English,"High school graduate, diploma or the equivalent (for example: GED)",1.0,vicarious_experience_1,vicarious_experience,Self-Efficacy Theory,13.6,6,0.0,1,0.0,1,0.0,6,6,False,0,False,0,0.0,0,0.0,1.0,0.0,5.67,6.0,5.4,4.67,5.0,4.8,4.33,5.0,2.5,4.5,3.0,4.0,2.5,4.5,2.67,4.0,4.0,3.5,3.5,3.75,4.5,4.5,3.0,3.0,3.75,2.78,4.5,"About when someone had overcome a challenging time or event, such as a friend or coworker",3.0,Interest,Looking for familiar words,Wondering,To do their best always,"Quite fun to participate, answers a little long for pay out."
p_356,32.0,Female,White or Caucasian,English,Bachelor’s degree,5.0,reference_group_identification_3,reference_group_identification,Social Norms Theory,18.32,7,0.75,4,0.0,10,0.0,34,34,False,0,False,1,1.29,0,0.0,2.0,0.0,6.67,4.88,5.2,5.0,1.0,1.0,5.67,7.0,1.5,5.0,4.0,3.0,1.0,5.0,2.17,4.5,3.5,4.5,3.5,4.0,5.0,3.5,2.0,3.0,3.38,1.22,3.5,working as a team and getting inspiration,1.0,unsure,it didn't,none,unsure,
